Time,GHI_0_Wm2,GHI_1_Wm2,GHI_2_Wm2,GHI_3_Wm2,GHI_4_Wm2,GHI_5_Wm2,DNI_0_Wm2,DNI_1_Wm2,DNI_2_Wm2
2025-08-16 00:00:00+00:00,-0.891541978387365,-0.35333333333333333,-0.5,0.16899734285714288,-0.0259089665,-0.3364146831666667,6.353240152477766e-05,0.235,-1.5233333333333334
2025-08-16 00:01:00+00:00,-0.7603283458021612,-0.22166666666666668,-0.41333333333333333,0.25561516666666667,-0.026578900999999995,-0.057349010443333334,0.0037695891571368064,0.22714285714285715,-1.5
2025-08-16 00:02:00+00:00,-0.7231296758104738,-0.2,-0.4,0.4693452964285714,-0.02743159566666667,-0.026450382183333333,0.0030707327403642526,0.28111111111111114,-1.5
2025-08-16 00:03:00+00:00,-0.7823150457190358,-0.2,-0.4233333333333334,0.3729344438596491,-0.02796516666666667,-0.18877502932833332,0.014930114358322744,0.2818181818181818,-1.5
2025-08-16 00:04:00+00:00,-0.8286367414796343,-0.22833333333333336,-0.5,0.42516962115384616,-0.027347181999999998,0.025073887116666672,0.03252858958068615,0.31,-1.5
2025-08-16 00:05:00+00:00,-0.9303200311720699,-0.325,-0.5,0.3908444245283019,-0.025467088666666665,-0.1733945387766667,0.025264718339686573,0.3,-1.5783333333333334
2025-08-16 00:06:00+00:00,-1.0748753158769744,-0.4583333333333333,-0.5483333333333333,0.09540479388679245,-0.0238909185,-0.34931023666666666,0.02706480304955527,0.28,-1.6
2025-08-16 00:07:00+00:00,-1.1537614359933501,-0.5283333333333333,-0.6,0.06547985981818182,-0.026645528499999998,-0.006744810133333333,0.02335874629394324,0.32,-1.6
2025-08-16 00:08:00+00:00,-1.1739193703241897,-0.6,-0.6,0.25321258113207545,-0.02723750083333333,-0.1345883366,0.008958068614993648,0.385,-1.6
2025-08-16 00:09:00+00:00,-1.218931832917706,-0.6,-0.6,0.045108349056603776,-0.027310229,-0.29844160541666664,0.016836086404066072,,-1.6
2025-08-16 00:10:00+00:00,-1.223337497921862,-0.6,-0.6,0.19173243240740742,-0.028334317499999997,0.060210786294915254,0.01715374841168996,,-1.6033333333333333
2025-08-16 00:11:00+00:00,-1.2917497901080635,-0.6733333333333333,-0.6616666666666666,0.23678316296296295,-0.02802145333333333,-0.13223018773333334,0.009678102498941127,0.39,-1.6883333333333332
2025-08-16 00:12:00+00:00,-1.3844555278470492,-0.78,-0.7,0.14231466226415093,-0.027279112166666668,0.01762272635,0.007899195256247353,,-1.7
2025-08-16 00:13:00+00:00,-1.3689526184538654,-0.77,-0.7,0.4111158833333334,-0.0257977155,0.41523892915254235,0.02075391783142736,0.53,-1.7
2025-08-16 00:14:00+00:00,-1.2938279301745637,-0.7,-0.7083333333333334,0.9212169018181818,-0.02783418983333334,0.3590941986666667,0.008852181279119017,,-1.7
2025-08-16 00:15:00+00:00,-1.2975477971737324,-0.7,-0.8,0.9494640145454546,-0.026521064000000004,0.23776728773833333,0.0008894536213468868,0.67,-1.7
2025-08-16 00:16:00+00:00,-1.3236699916874481,-0.705,-0.8,0.8709201814814814,-0.024288891166666667,0.1851596909661017,0.00016941973739940692,,-1.7
2025-08-16 00:17:00+00:00,-1.4054031587697424,-0.785,-0.8,0.598654,-0.023972889166666667,-0.09487291241666668,-4.2354934349851756e-05,0.71,-1.7
2025-08-16 00:18:00+00:00,-1.5249792186201165,-0.89,-0.8,0.2113064693148148,-0.02150351266666667,-0.34007324921666665,0.010016941973739939,0.65,-1.7
2025-08-16 00:19:00+00:00,-1.6612011637572737,-1.005,-0.8,-0.17969507777777777,-0.020560151833333335,-0.35723594166666667,0.008174502329521388,,-1.7
2025-08-16 00:20:00+00:00,-1.7569617622610143,-1.115,-0.8,-0.35987072,-0.019718611500000004,-0.45941438474576274,0.007285048708174501,0.45499999999999996,-1.7
2025-08-16 00:21:00+00:00,-1.8792186201163759,-1.2283333333333333,-0.8316666666666668,-0.5076284636363636,-0.0199571305,-0.3576235208333333,-0.014125370605675562,,-1.7916666666666667
2025-08-16 00:22:00+00:00,-1.9403990024937656,-1.3,-0.9,-0.13407726390909092,-0.024476153466666664,0.28827730505000004,-0.023549343498517575,,-1.8
2025-08-16 00:23:00+00:00,-1.9228802992518705,-1.3,-0.9183333333333333,0.44111610727272726,-0.02822856816666667,0.4499970233333333,-0.013955950868276154,,-1.8
2025-08-16 00:24:00+00:00,-1.8896508728179553,-1.3,-1.0,0.6376127696428571,-0.029845058166666667,0.10065092610169492,-0.016899618805590853,,-1.8
2025-08-16 00:25:00+00:00,-2.0071903574397343,-1.3616666666666668,-1.0,0.14192165992727274,-0.025810724,-0.28147115762711866,-0.03341804320203304,,-1.8
2025-08-16 00:26:00+00:00,-2.1538445552784706,-1.52,-1.0816666666666668,-0.10931351607142857,-0.023714937616666668,-0.109043536,-0.0361711139347734,,-1.8
2025-08-16 00:27:00+00:00,-2.2594970906068164,-1.6033333333333333,-1.1,-0.07849013767857142,-0.022498246333333336,-0.03558956971666667,-0.041656077933079204,0.68,-1.8133333333333332
2025-08-16 00:28:00+00:00,-2.231587697423109,-1.6033333333333333,-1.1,0.2640530382909091,-0.0262831265,0.4327002962,-0.040004235493434986,0.79,-1.8183333333333331
2025-08-16 00:29:00+00:00,-2.122568578553616,-1.5133333333333332,-1.1,0.6550874280701755,-0.027872232,0.2631360811551724,-0.05453197797543413,,-1.8
2025-08-16 00:30:00+00:00,-2.092206982543641,-1.5,-1.1,0.5448732385964912,-0.027447102833333334,0.049173373060000004,-0.06022871664548919,0.8,-1.8
